ID,Drug1,Drug2,cell_line,Bliss,classification
141,AZD1775,MK-8776,A2058,33.79,synergy
142,AZD1775,MK-8776,A2058,31.33,synergy
143,AZD1775,MK-8776,A2058,32.99,synergy
144,AZD1775,OXALIPLATIN,A2058,7.1,synergy
145,AZD1775,OXALIPLATIN,A2058,4.69,synergy
146,AZD1775,OXALIPLATIN,A2058,5.92,synergy
147,AZD1775,OXALIPLATIN,A2058,6.96,synergy
148,AZD1775,PD325901,A2058,3.02,synergy
149,AZD1775,PD325901,A2058,10.21,synergy
150,AZD1775,PD325901,A2058,7.27,synergy
151,AZD1775,PD325901,A2058,6.31,synergy
152,AZD1775,SN-38,A2058,10.16,synergy
153,AZD1775,SN-38,A2058,7.52,synergy
154,AZD1775,SN-38,A2058,12.4,synergy
155,AZD1775,SN-38,A2058,7.04,synergy
156,AZD1775,SORAFENIB,A2058,7.24,synergy
157,AZD1775,SORAFENIB,A2058,13.94,synergy
158,AZD1775,SORAFENIB,A2058,7.45,synergy
159,AZD1775,SORAFENIB,A2058,11.07,synergy
160,AZD1775,TOPOTECAN,A2058,8.21,synergy
161,AZD1775,TOPOTECAN,A2058,6.61,synergy
162,AZD1775,TOPOTECAN,A2058,5.09,synergy
163,AZD1775,TOPOTECAN,A2058,3.17,synergy
164,BEZ-235,DINACICLIB,A2058,6.02,synergy
165,BEZ-235,DINACICLIB,A2058,7.13,synergy
166,BEZ-235,DINACICLIB,A2058,6.38,synergy
167,BEZ-235,MK-8776,A2058,8.15,synergy
168,BEZ-235,MK-8776,A2058,6.61,synergy
169,BEZ-235,MK-8776,A2058,12.31,synergy
170,BEZ-235,MK-8776,A2058,8.07,synergy
171,BEZ-235,OXALIPLATIN,A2058,7.2,synergy
172,BEZ-235,OXALIPLATIN,A2058,9.86,synergy
173,BEZ-235,OXALIPLATIN,A2058,8.57,synergy
174,BEZ-235,OXALIPLATIN,A2058,10.71,synergy
175,BEZ-235,SN-38,A2058,3.54,synergy
176,BEZ-235,SORAFENIB,A2058,10.03,synergy
177,BEZ-235,SORAFENIB,A2058,8.44,synergy
178,BEZ-235,SORAFENIB,A2058,10.82,synergy
179,BEZ-235,SORAFENIB,A2058,13.06,synergy
180,BORTEZOMIB,ABT-888,A2058,4.61,synergy
181,BORTEZOMIB,ABT-888,A2058,4.16,synergy
182,BORTEZOMIB,ABT-888,A2058,4.97,synergy
183,BORTEZOMIB,ABT-888,A2058,9.37,synergy
184,BORTEZOMIB,BEZ-235,A2058,6.73,synergy
185,BORTEZOMIB,BEZ-235,A2058,3.35,synergy
186,BORTEZOMIB,BEZ-235,A2058,5.48,synergy
187,BORTEZOMIB,DASATINIB,A2058,7.89,synergy
188,BORTEZOMIB,DASATINIB,A2058,3.33,synergy
189,BORTEZOMIB,DASATINIB,A2058,4.82,synergy
190,BORTEZOMIB,DINACICLIB,A2058,3.38,synergy
191,BORTEZOMIB,GELDANAMYCIN,A2058,3.89,synergy
192,BORTEZOMIB,GELDANAMYCIN,A2058,4.08,synergy
193,BORTEZOMIB,MK-8669,A2058,3.19,synergy
194,BORTEZOMIB,MK-8669,A2058,4.41,synergy
195,BORTEZOMIB,MK-8776,A2058,9.2,synergy
196,BORTEZOMIB,MK-8776,A2058,5.21,synergy
197,BORTEZOMIB,OXALIPLATIN,A2058,4.06,synergy
198,BORTEZOMIB,SN-38,A2058,20.97,synergy
199,BORTEZOMIB,SN-38,A2058,18.9,synergy
200,BORTEZOMIB,SN-38,A2058,9.24,synergy
201,BORTEZOMIB,SN-38,A2058,4.98,synergy
202,BORTEZOMIB,SORAFENIB,A2058,4.81,synergy
203,BORTEZOMIB,SORAFENIB,A2058,7.82,synergy
204,BORTEZOMIB,SORAFENIB,A2058,33.84,synergy
205,BORTEZOMIB,SORAFENIB,A2058,9.47,synergy
206,BORTEZOMIB,TOPOTECAN,A2058,5.04,synergy
207,CARBOPLATIN,ABT-888,A2058,4.3,synergy
208,CARBOPLATIN,ABT-888,A2058,5.19,synergy
209,CARBOPLATIN,AZD1775,A2058,18.92,synergy
210,CARBOPLATIN,AZD1775,A2058,14.08,synergy
211,CARBOPLATIN,AZD1775,A2058,14.93,synergy
212,CARBOPLATIN,AZD1775,A2058,9.32,synergy
213,CARBOPLATIN,BEZ-235,A2058,3.34,synergy
214,CARBOPLATIN,BORTEZOMIB,A2058,3.22,synergy
215,CARBOPLATIN,BORTEZOMIB,A2058,9.1,synergy
216,CARBOPLATIN,DASATINIB,A2058,4.67,synergy
217,CARBOPLATIN,DASATINIB,A2058,5.48,synergy
218,CARBOPLATIN,DASATINIB,A2058,10.02,synergy
219,CARBOPLATIN,DINACICLIB,A2058,8.12,synergy
220,CARBOPLATIN,DINACICLIB,A2058,6.6,synergy
221,CARBOPLATIN,DINACICLIB,A2058,15,synergy
222,CARBOPLATIN,ERLOTINIB,A2058,12.42,synergy
223,CARBOPLATIN,ERLOTINIB,A2058,11.04,synergy
224,CARBOPLATIN,ERLOTINIB,A2058,4.47,synergy
225,CARBOPLATIN,GELDANAMYCIN,A2058,7.16,synergy
226,CARBOPLATIN,GELDANAMYCIN,A2058,7.2,synergy
227,CARBOPLATIN,GELDANAMYCIN,A2058,8.23,synergy
228,CARBOPLATIN,GELDANAMYCIN,A2058,7.96,synergy
229,CARBOPLATIN,L778123,A2058,8.55,synergy
230,CARBOPLATIN,L778123,A2058,11.84,synergy
231,CARBOPLATIN,L778123,A2058,4.96,synergy
232,CARBOPLATIN,LAPATINIB,A2058,8.37,synergy
233,CARBOPLATIN,LAPATINIB,A2058,15.09,synergy
234,CARBOPLATIN,LAPATINIB,A2058,9.77,synergy
235,CARBOPLATIN,MK-2206,A2058,6.06,synergy
236,CARBOPLATIN,MK-2206,A2058,7.74,synergy
237,CARBOPLATIN,MK-2206,A2058,6.39,synergy
238,CARBOPLATIN,MK-4827,A2058,4.37,synergy
239,CARBOPLATIN,MK-4827,A2058,6.51,synergy
240,CARBOPLATIN,MK-5108,A2058,6.11,synergy
241,CARBOPLATIN,MK-8669,A2058,8.64,synergy
242,CARBOPLATIN,MK-8669,A2058,4.17,synergy
243,CARBOPLATIN,MK-8669,A2058,9.86,synergy
244,CARBOPLATIN,MK-8776,A2058,9.47,synergy
245,CARBOPLATIN,MK-8776,A2058,7.14,synergy
246,CARBOPLATIN,MK-8776,A2058,10.89,synergy
247,CARBOPLATIN,MK-8776,A2058,8.65,synergy
248,CARBOPLATIN,PD325901,A2058,-8.74,antagonism
249,CARBOPLATIN,PD325901,A2058,-8,antagonism
250,CARBOPLATIN,PD325901,A2058,-3.52,antagonism
251,CARBOPLATIN,SORAFENIB,A2058,6.58,synergy
252,CARBOPLATIN,SUNITINIB,A2058,9.4,synergy
253,CARBOPLATIN,SUNITINIB,A2058,8.27,synergy
254,CARBOPLATIN,SUNITINIB,A2058,14.2,synergy
255,CARBOPLATIN,SUNITINIB,A2058,5.75,synergy
256,CARBOPLATIN,TEMOZOLOMIDE,A2058,-5.15,antagonism
257,CARBOPLATIN,TEMOZOLOMIDE,A2058,-3.99,antagonism
258,CARBOPLATIN,ZOLINZA,A2058,11.71,synergy
259,CARBOPLATIN,ZOLINZA,A2058,9.16,synergy
260,CARBOPLATIN,ZOLINZA,A2058,5.96,synergy
261,CARBOPLATIN,ZOLINZA,A2058,15.55,synergy
262,CYCLOPHOSPHAMIDE,ABT-888,A2058,9.81,synergy
263,CYCLOPHOSPHAMIDE,ABT-888,A2058,24.86,synergy
264,CYCLOPHOSPHAMIDE,ABT-888,A2058,25.94,synergy
265,CYCLOPHOSPHAMIDE,ABT-888,A2058,13.24,synergy
266,CYCLOPHOSPHAMIDE,AZD1775,A2058,6.47,synergy
267,CYCLOPHOSPHAMIDE,AZD1775,A2058,8.14,synergy
268,CYCLOPHOSPHAMIDE,AZD1775,A2058,6.29,synergy
269,CYCLOPHOSPHAMIDE,AZD1775,A2058,8.91,synergy
270,CYCLOPHOSPHAMIDE,BEZ-235,A2058,8.49,synergy
271,CYCLOPHOSPHAMIDE,BEZ-235,A2058,6.16,synergy
272,CYCLOPHOSPHAMIDE,BEZ-235,A2058,10.67,synergy
273,CYCLOPHOSPHAMIDE,BEZ-235,A2058,7.42,synergy
274,CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,4.91,synergy
275,CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,4.77,synergy
276,CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,6.93,synergy
277,CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,6.77,synergy
278,CYCLOPHOSPHAMIDE,DASATINIB,A2058,4.71,synergy
279,CYCLOPHOSPHAMIDE,DASATINIB,A2058,9.94,synergy
280,CYCLOPHOSPHAMIDE,DINACICLIB,A2058,10.95,synergy
281,CYCLOPHOSPHAMIDE,DINACICLIB,A2058,10.49,synergy
282,CYCLOPHOSPHAMIDE,DINACICLIB,A2058,8.41,synergy
283,CYCLOPHOSPHAMIDE,DINACICLIB,A2058,7.09,synergy
284,CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,4.54,synergy
285,CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,9.15,synergy
286,CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,7.34,synergy
287,CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,7.34,synergy
288,CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,8.7,synergy
289,CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,8.08,synergy
290,CYCLOPHOSPHAMIDE,L778123,A2058,5.76,synergy
291,CYCLOPHOSPHAMIDE,L778123,A2058,6.37,synergy
292,CYCLOPHOSPHAMIDE,L778123,A2058,10.38,synergy
293,CYCLOPHOSPHAMIDE,L778123,A2058,16.46,synergy
294,CYCLOPHOSPHAMIDE,LAPATINIB,A2058,5.99,synergy
295,CYCLOPHOSPHAMIDE,LAPATINIB,A2058,8.98,synergy
296,CYCLOPHOSPHAMIDE,LAPATINIB,A2058,11.31,synergy
297,CYCLOPHOSPHAMIDE,LAPATINIB,A2058,5.31,synergy
298,CYCLOPHOSPHAMIDE,MK-2206,A2058,11.44,synergy
299,CYCLOPHOSPHAMIDE,MK-2206,A2058,7.21,synergy
300,CYCLOPHOSPHAMIDE,MK-2206,A2058,7.42,synergy
301,CYCLOPHOSPHAMIDE,MK-2206,A2058,8.2,synergy
302,CYCLOPHOSPHAMIDE,MK-4827,A2058,8.08,synergy
303,CYCLOPHOSPHAMIDE,MK-4827,A2058,3.62,synergy
304,CYCLOPHOSPHAMIDE,MK-4827,A2058,6.35,synergy
305,CYCLOPHOSPHAMIDE,MK-4827,A2058,3.73,synergy
306,CYCLOPHOSPHAMIDE,MK-5108,A2058,4.04,synergy
307,CYCLOPHOSPHAMIDE,MK-5108,A2058,5.32,synergy
308,CYCLOPHOSPHAMIDE,MK-5108,A2058,4.9,synergy
309,CYCLOPHOSPHAMIDE,MK-5108,A2058,6.89,synergy
310,CYCLOPHOSPHAMIDE,MK-8669,A2058,12.25,synergy
311,CYCLOPHOSPHAMIDE,MK-8669,A2058,9.87,synergy
312,CYCLOPHOSPHAMIDE,MK-8669,A2058,9.97,synergy
313,CYCLOPHOSPHAMIDE,MK-8669,A2058,13.07,synergy
314,CYCLOPHOSPHAMIDE,MK-8776,A2058,4.26,synergy
315,CYCLOPHOSPHAMIDE,MK-8776,A2058,5.52,synergy
316,CYCLOPHOSPHAMIDE,PD325901,A2058,4.2,synergy
317,CYCLOPHOSPHAMIDE,PD325901,A2058,4.4,synergy
318,CYCLOPHOSPHAMIDE,PD325901,A2058,11.76,synergy
319,CYCLOPHOSPHAMIDE,PD325901,A2058,6.72,synergy
320,CYCLOPHOSPHAMIDE,SORAFENIB,A2058,15.61,synergy
321,CYCLOPHOSPHAMIDE,SORAFENIB,A2058,13.6,synergy
322,CYCLOPHOSPHAMIDE,SORAFENIB,A2058,10.57,synergy
323,CYCLOPHOSPHAMIDE,SORAFENIB,A2058,16,synergy
324,CYCLOPHOSPHAMIDE,SUNITINIB,A2058,14.47,synergy
325,CYCLOPHOSPHAMIDE,SUNITINIB,A2058,18.81,synergy
326,CYCLOPHOSPHAMIDE,SUNITINIB,A2058,16.95,synergy
327,CYCLOPHOSPHAMIDE,SUNITINIB,A2058,15.28,synergy
328,CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2058,12.25,synergy
329,CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2058,13.93,synergy
330,CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2058,10.71,synergy
331,CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2058,10.59,synergy
332,CYCLOPHOSPHAMIDE,ZOLINZA,A2058,14.49,synergy
333,CYCLOPHOSPHAMIDE,ZOLINZA,A2058,12.36,synergy
334,CYCLOPHOSPHAMIDE,ZOLINZA,A2058,11.92,synergy
335,CYCLOPHOSPHAMIDE,ZOLINZA,A2058,14.95,synergy
336,DASATINIB,BEZ-235,A2058,7.73,synergy
337,DASATINIB,BEZ-235,A2058,6.25,synergy
338,DASATINIB,BEZ-235,A2058,9.91,synergy
339,DASATINIB,BEZ-235,A2058,12.85,synergy
340,DASATINIB,DINACICLIB,A2058,7.64,synergy
341,DASATINIB,DINACICLIB,A2058,6.58,synergy
342,DASATINIB,DINACICLIB,A2058,6.35,synergy
343,DASATINIB,DINACICLIB,A2058,11.02,synergy
344,DASATINIB,GELDANAMYCIN,A2058,-3.85,antagonism
345,DASATINIB,MK-8669,A2058,14.71,synergy
346,DASATINIB,MK-8669,A2058,9.54,synergy
347,DASATINIB,MK-8669,A2058,11.83,synergy
348,DASATINIB,MK-8669,A2058,12.56,synergy
349,DASATINIB,MK-8776,A2058,6.16,synergy
350,DASATINIB,MK-8776,A2058,9.18,synergy
351,DASATINIB,MK-8776,A2058,6.43,synergy
352,DASATINIB,MK-8776,A2058,9.16,synergy
353,DASATINIB,OXALIPLATIN,A2058,8.56,synergy
354,DASATINIB,OXALIPLATIN,A2058,7.03,synergy
355,DASATINIB,OXALIPLATIN,A2058,11.92,synergy
356,DASATINIB,SN-38,A2058,3.4,synergy
357,DASATINIB,SN-38,A2058,7.99,synergy
358,DASATINIB,SN-38,A2058,11.72,synergy
359,DASATINIB,SORAFENIB,A2058,14.97,synergy
360,DASATINIB,SORAFENIB,A2058,10.51,synergy
361,DASATINIB,SORAFENIB,A2058,14.49,synergy
362,DASATINIB,SORAFENIB,A2058,21.25,synergy
363,DASATINIB,TOPOTECAN,A2058,8.38,synergy
364,DEXAMETHASONE,ABT-888,A2058,7.79,synergy
365,DEXAMETHASONE,AZD1775,A2058,6.64,synergy
366,DEXAMETHASONE,AZD1775,A2058,-3.66,antagonism
367,DEXAMETHASONE,AZD1775,A2058,5.01,synergy
368,DEXAMETHASONE,BEZ-235,A2058,6.49,synergy
369,DEXAMETHASONE,BEZ-235,A2058,9.11,synergy
370,DEXAMETHASONE,BEZ-235,A2058,10.77,synergy
371,DEXAMETHASONE,BEZ-235,A2058,6.66,synergy
372,DEXAMETHASONE,BORTEZOMIB,A2058,6.49,synergy
373,DEXAMETHASONE,BORTEZOMIB,A2058,5.28,synergy
374,DEXAMETHASONE,DASATINIB,A2058,5.44,synergy
375,DEXAMETHASONE,DASATINIB,A2058,4.1,synergy
376,DEXAMETHASONE,DINACICLIB,A2058,4.75,synergy
377,DEXAMETHASONE,DINACICLIB,A2058,4.36,synergy
378,DEXAMETHASONE,DINACICLIB,A2058,5.76,synergy
379,DEXAMETHASONE,ERLOTINIB,A2058,-3.85,antagonism
380,DEXAMETHASONE,GELDANAMYCIN,A2058,15.25,synergy
381,DEXAMETHASONE,GELDANAMYCIN,A2058,3.62,synergy
382,DEXAMETHASONE,GELDANAMYCIN,A2058,7.41,synergy
383,DEXAMETHASONE,GELDANAMYCIN,A2058,8.83,synergy
384,DEXAMETHASONE,L778123,A2058,8.75,synergy
385,DEXAMETHASONE,L778123,A2058,7.89,synergy
386,DEXAMETHASONE,LAPATINIB,A2058,7.14,synergy
387,DEXAMETHASONE,LAPATINIB,A2058,5.43,synergy
388,DEXAMETHASONE,MK-2206,A2058,8.51,synergy
389,DEXAMETHASONE,MK-2206,A2058,6.81,synergy
390,DEXAMETHASONE,MK-2206,A2058,11.46,synergy
391,DEXAMETHASONE,MK-2206,A2058,7.49,synergy
392,DEXAMETHASONE,MK-4827,A2058,-5.09,antagonism
393,DEXAMETHASONE,MK-4827,A2058,-7.34,antagonism
394,DEXAMETHASONE,MK-4827,A2058,-7.71,antagonism
395,DEXAMETHASONE,MK-5108,A2058,-3.23,antagonism
396,DEXAMETHASONE,MK-5108,A2058,-5.98,antagonism
397,DEXAMETHASONE,MK-5108,A2058,5.16,synergy
398,DEXAMETHASONE,MK-8669,A2058,11.54,synergy
399,DEXAMETHASONE,MK-8669,A2058,8.83,synergy
400,DEXAMETHASONE,MK-8669,A2058,10.23,synergy
401,DEXAMETHASONE,MK-8669,A2058,14.89,synergy
402,DEXAMETHASONE,MK-8776,A2058,-3.22,antagonism
403,DEXAMETHASONE,MK-8776,A2058,12.4,synergy
404,DEXAMETHASONE,PD325901,A2058,10.26,synergy
405,DEXAMETHASONE,PD325901,A2058,11.84,synergy
406,DEXAMETHASONE,PD325901,A2058,9.23,synergy
407,DEXAMETHASONE,PD325901,A2058,14.12,synergy
408,DEXAMETHASONE,SORAFENIB,A2058,16.63,synergy
409,DEXAMETHASONE,SORAFENIB,A2058,21.09,synergy
410,DEXAMETHASONE,SORAFENIB,A2058,17.85,synergy
411,DEXAMETHASONE,SORAFENIB,A2058,23.06,synergy
412,DEXAMETHASONE,SUNITINIB,A2058,15.64,synergy
413,DEXAMETHASONE,SUNITINIB,A2058,19.74,synergy
414,DEXAMETHASONE,SUNITINIB,A2058,21.37,synergy
415,DEXAMETHASONE,SUNITINIB,A2058,14.41,synergy
416,DEXAMETHASONE,TEMOZOLOMIDE,A2058,-3.62,antagonism
417,DEXAMETHASONE,TEMOZOLOMIDE,A2058,-7.82,antagonism
418,DEXAMETHASONE,TEMOZOLOMIDE,A2058,-10.32,antagonism
419,DEXAMETHASONE,ZOLINZA,A2058,7.77,synergy
420,DEXAMETHASONE,ZOLINZA,A2058,3.93,synergy
421,DEXAMETHASONE,ZOLINZA,A2058,5.22,synergy
422,DEXAMETHASONE,ZOLINZA,A2058,16.27,synergy
423,DINACICLIB,MK-8776,A2058,-3.44,antagonism
424,DOXORUBICIN,ABT-888,A2058,-3.56,antagonism
425,DOXORUBICIN,AZD1775,A2058,3.35,synergy
426,DOXORUBICIN,BEZ-235,A2058,-4.2,antagonism
427,DOXORUBICIN,BEZ-235,A2058,-3.02,antagonism
428,DOXORUBICIN,BEZ-235,A2058,-3.79,antagonism
429,DOXORUBICIN,BORTEZOMIB,A2058,-4.76,antagonism
430,DOXORUBICIN,GELDANAMYCIN,A2058,-3.72,antagonism
431,DOXORUBICIN,MK-4827,A2058,-5.62,antagonism
432,DOXORUBICIN,MK-4827,A2058,-6.16,antagonism
433,DOXORUBICIN,MK-4827,A2058,-6.1,antagonism
434,DOXORUBICIN,MK-4827,A2058,-6.31,antagonism
435,DOXORUBICIN,MK-5108,A2058,-4.91,antagonism
436,DOXORUBICIN,MK-5108,A2058,-11.51,antagonism
437,DOXORUBICIN,MK-5108,A2058,-3.57,antagonism
438,DOXORUBICIN,MK-5108,A2058,-4.16,antagonism
439,DOXORUBICIN,MK-8669,A2058,-7.6,antagonism
440,DOXORUBICIN,MK-8669,A2058,-3.37,antagonism
441,DOXORUBICIN,MK-8776,A2058,-8.25,antagonism
442,DOXORUBICIN,SUNITINIB,A2058,-3.66,antagonism
443,DOXORUBICIN,TEMOZOLOMIDE,A2058,-3.73,antagonism
444,DOXORUBICIN,TEMOZOLOMIDE,A2058,-4.17,antagonism
445,DOXORUBICIN,TEMOZOLOMIDE,A2058,-6.12,antagonism
446,DOXORUBICIN,TEMOZOLOMIDE,A2058,-4.53,antagonism
447,ERLOTINIB,ABT-888,A2058,4.12,synergy
448,ERLOTINIB,ABT-888,A2058,4.75,synergy
449,ERLOTINIB,ABT-888,A2058,3.67,synergy
450,ERLOTINIB,BEZ-235,A2058,7.55,synergy
