cell_line,drugA_name,drugB_name,mean_bliss,tissue
A2058,DASATINIB,SN-38,7.703333333333333,skin
A2058,DASATINIB,SORAFENIB,15.305,skin
A2058,DASATINIB,TOPOTECAN,8.38,skin
A2058,DEXAMETHASONE,ABT-888,7.79,skin
A2058,DEXAMETHASONE,AZD1775,2.663333333333333,skin
A2058,DEXAMETHASONE,BEZ-235,8.2575,skin
A2058,DEXAMETHASONE,BORTEZOMIB,5.885,skin
A2058,DEXAMETHASONE,DASATINIB,4.77,skin
A2058,DEXAMETHASONE,DINACICLIB,4.956666666666667,skin
A2058,DEXAMETHASONE,ERLOTINIB,-3.85,skin
A2058,DEXAMETHASONE,GELDANAMYCIN,8.7775,skin
A2058,DEXAMETHASONE,L778123,8.32,skin
A2058,DEXAMETHASONE,LAPATINIB,6.285,skin
A2058,DEXAMETHASONE,MK-2206,8.5675,skin
A2058,DEXAMETHASONE,MK-4827,-6.713333333333334,skin
A2058,DEXAMETHASONE,MK-5108,-1.3500000000000003,skin
A2058,DEXAMETHASONE,MK-8669,11.3725,skin
A2058,DEXAMETHASONE,MK-8776,4.59,skin
A2058,DEXAMETHASONE,PD325901,11.3625,skin
A2058,DEXAMETHASONE,SORAFENIB,19.6575,skin
A2058,DEXAMETHASONE,SUNITINIB,17.79,skin
A2058,DEXAMETHASONE,TEMOZOLOMIDE,-7.253333333333334,skin
A2058,DEXAMETHASONE,ZOLINZA,8.2975,skin
A2058,DINACICLIB,MK-8776,-3.44,skin
A2058,DOXORUBICIN,ABT-888,-3.56,skin
A2058,DOXORUBICIN,AZD1775,3.35,skin
A2058,DOXORUBICIN,BEZ-235,-3.67,skin
A2058,DOXORUBICIN,BORTEZOMIB,-4.76,skin
A2058,DOXORUBICIN,GELDANAMYCIN,-3.72,skin
A2058,DOXORUBICIN,MK-4827,-6.047499999999999,skin
A2058,DOXORUBICIN,MK-5108,-6.0375,skin
A2058,DOXORUBICIN,MK-8669,-5.484999999999999,skin
A2058,DOXORUBICIN,MK-8776,-8.25,skin
A2058,DOXORUBICIN,SUNITINIB,-3.66,skin
A2058,DOXORUBICIN,TEMOZOLOMIDE,-4.6375,skin
A2058,ERLOTINIB,ABT-888,4.18,skin
A2058,ERLOTINIB,BEZ-235,6.875,skin
A2058,ERLOTINIB,BORTEZOMIB,4.58,skin
A2058,ERLOTINIB,DASATINIB,8.095,skin
A2058,ERLOTINIB,DINACICLIB,4.675000000000001,skin
A2058,ERLOTINIB,GELDANAMYCIN,6.3725,skin
A2058,ERLOTINIB,MK-8669,19.3625,skin
A2058,ERLOTINIB,MK-8776,5.386666666666667,skin
A2058,ERLOTINIB,OXALIPLATIN,3.61,skin
A2058,ERLOTINIB,PD325901,4.52,skin
A2058,ERLOTINIB,SN-38,7.9375,skin
A2058,ERLOTINIB,SORAFENIB,9.407499999999999,skin
A2058,ERLOTINIB,TOPOTECAN,10.094999999999999,skin
A2058,ETOPOSIDE,ABT-888,4.84,skin
A2058,ETOPOSIDE,AZD1775,8.995000000000001,skin
A2058,ETOPOSIDE,BORTEZOMIB,4.82,skin
A2058,ETOPOSIDE,DINACICLIB,4.715,skin
A2058,ETOPOSIDE,ERLOTINIB,3.85,skin
A2058,ETOPOSIDE,GELDANAMYCIN,8.405,skin
A2058,ETOPOSIDE,LAPATINIB,3.48,skin
A2058,ETOPOSIDE,MK-2206,5.8075,skin
A2058,ETOPOSIDE,MK-5108,5.41,skin
A2058,ETOPOSIDE,MK-8669,0.1100000000000001,skin
A2058,ETOPOSIDE,MK-8776,9.5375,skin
A2058,ETOPOSIDE,PD325901,4.1375,skin
A2058,ETOPOSIDE,SORAFENIB,4.04,skin
A2058,ETOPOSIDE,SUNITINIB,3.1999999999999997,skin
A2058,ETOPOSIDE,ZOLINZA,7.1675,skin
A2058,GELDANAMYCIN,BEZ-235,6.2425,skin
A2058,GELDANAMYCIN,DINACICLIB,5.726666666666667,skin
A2058,GELDANAMYCIN,MK-8776,13.025,skin
A2058,GELDANAMYCIN,OXALIPLATIN,9.465,skin
A2058,GELDANAMYCIN,SN-38,10.075000000000001,skin
A2058,GELDANAMYCIN,SORAFENIB,16.637500000000003,skin
A2058,GELDANAMYCIN,TOPOTECAN,6.5775,skin
A2058,GEMCITABINE,ABT-888,7.413333333333334,skin
A2058,GEMCITABINE,AZD1775,14.334999999999999,skin
A2058,GEMCITABINE,BEZ-235,7.6274999999999995,skin
A2058,GEMCITABINE,BORTEZOMIB,8.05,skin
A2058,GEMCITABINE,DASATINIB,6.61,skin
A2058,GEMCITABINE,DINACICLIB,7.735,skin
A2058,GEMCITABINE,ERLOTINIB,9.466666666666667,skin
A2058,GEMCITABINE,GELDANAMYCIN,7.385,skin
A2058,GEMCITABINE,LAPATINIB,8.893333333333333,skin
A2058,GEMCITABINE,MK-2206,11.835,skin
A2058,GEMCITABINE,MK-4827,-3.44,skin
A2058,GEMCITABINE,MK-5108,12.3475,skin
A2058,GEMCITABINE,MK-8669,8.93,skin
A2058,GEMCITABINE,MK-8776,26.255,skin
A2058,GEMCITABINE,PD325901,8.065,skin
A2058,GEMCITABINE,SORAFENIB,7.6899999999999995,skin
A2058,GEMCITABINE,SUNITINIB,7.635,skin
A2058,GEMCITABINE,TEMOZOLOMIDE,10.025,skin
A2058,L778123,ABT-888,7.3925,skin
A2058,L778123,AZD1775,5.321428571428571,skin
A2058,L778123,BEZ-235,10.004999999999999,skin
A2058,L778123,BORTEZOMIB,5.35,skin
A2058,L778123,DASATINIB,8.217500000000001,skin
A2058,L778123,DINACICLIB,8.77,skin
A2058,L778123,ERLOTINIB,6.702500000000001,skin
A2058,L778123,ETOPOSIDE,8.305,skin
A2058,L778123,GELDANAMYCIN,11.975,skin
A2058,L778123,GEMCITABINE,11.5,skin
A2058,L778123,LAPATINIB,12.657499999999999,skin
A2058,L778123,MK-2206,11.719999999999999,skin
A2058,L778123,MK-4827,9.1775,skin
A2058,L778123,MK-5108,17.5175,skin
A2058,L778123,MK-8669,15.63125,skin
A2058,L778123,MK-8776,11.365,skin
A2058,L778123,OXALIPLATIN,6.0,skin
A2058,L778123,PD325901,6.333333333333333,skin
A2058,L778123,SN-38,27.9375,skin
A2058,L778123,SORAFENIB,31.36,skin
A2058,L778123,SUNITINIB,23.6125,skin
A2058,L778123,TEMOZOLOMIDE,13.755,skin
A2058,L778123,TOPOTECAN,19.575,skin
A2058,L778123,VINORELBINE,7.61,skin
A2058,L778123,ZOLINZA,14.7775,skin
A2058,LAPATINIB,ABT-888,7.773333333333333,skin
A2058,LAPATINIB,BEZ-235,12.079999999999998,skin
A2058,LAPATINIB,BORTEZOMIB,6.73,skin
A2058,LAPATINIB,DASATINIB,12.5225,skin
A2058,LAPATINIB,DINACICLIB,9.7175,skin
A2058,LAPATINIB,ERLOTINIB,10.24,skin
A2058,LAPATINIB,GELDANAMYCIN,9.505,skin
A2058,LAPATINIB,MK-2206,8.338750000000001,skin
A2058,LAPATINIB,MK-4827,4.323333333333333,skin
A2058,LAPATINIB,MK-5108,7.97,skin
A2058,LAPATINIB,MK-8669,8.7975,skin
A2058,LAPATINIB,MK-8776,6.1675,skin
A2058,LAPATINIB,OXALIPLATIN,18.115000000000002,skin
A2058,LAPATINIB,PD325901,25.1475,skin
A2058,LAPATINIB,SN-38,11.57,skin
A2058,LAPATINIB,SORAFENIB,21.4175,skin
A2058,LAPATINIB,TOPOTECAN,8.085,skin
A2058,METFORMIN,ABT-888,17.1875,skin
A2058,METFORMIN,AZD1775,8.655,skin
A2058,METFORMIN,BEZ-235,16.695,skin
A2058,METFORMIN,BORTEZOMIB,10.02,skin
A2058,METFORMIN,DASATINIB,6.953333333333333,skin
A2058,METFORMIN,DINACICLIB,12.115,skin
A2058,METFORMIN,ERLOTINIB,5.406666666666666,skin
A2058,METFORMIN,GELDANAMYCIN,9.0375,skin
A2058,METFORMIN,L778123,13.21,skin
A2058,METFORMIN,LAPATINIB,10.895000000000001,skin
A2058,METFORMIN,MK-2206,14.483333333333333,skin
A2058,METFORMIN,MK-4827,5.08,skin
A2058,METFORMIN,MK-5108,7.6225000000000005,skin
A2058,METFORMIN,MK-8669,14.362499999999999,skin
A2058,METFORMIN,MK-8776,-4.68,skin
A2058,METFORMIN,PD325901,23.595,skin
A2058,METFORMIN,SORAFENIB,19.0225,skin
A2058,METFORMIN,SUNITINIB,12.5525,skin
A2058,METFORMIN,TEMOZOLOMIDE,4.52,skin
A2058,METFORMIN,ZOLINZA,12.8125,skin
A2058,METHOTREXATE,ABT-888,-8.9225,skin
A2058,METHOTREXATE,AZD1775,-4.695,skin
A2058,METHOTREXATE,BEZ-235,-11.190000000000001,skin
A2058,METHOTREXATE,BORTEZOMIB,-5.04,skin
A2058,METHOTREXATE,ERLOTINIB,-5.77,skin
A2058,METHOTREXATE,GELDANAMYCIN,-10.7175,skin
A2058,METHOTREXATE,L778123,-6.913333333333334,skin
A2058,METHOTREXATE,LAPATINIB,-5.003333333333333,skin
A2058,METHOTREXATE,MK-2206,-3.66,skin
A2058,METHOTREXATE,MK-4827,-7.9975000000000005,skin
A2058,METHOTREXATE,MK-5108,-9.15,skin
A2058,METHOTREXATE,MK-8669,-7.9825,skin
A2058,METHOTREXATE,MK-8776,-4.3175,skin
A2058,METHOTREXATE,PD325901,-6.465,skin
A2058,METHOTREXATE,SORAFENIB,-5.945,skin
A2058,METHOTREXATE,SUNITINIB,-5.5600000000000005,skin
A2058,METHOTREXATE,TEMOZOLOMIDE,-12.05,skin
A2058,METHOTREXATE,ZOLINZA,-10.34,skin
A2058,MITOMYCINE,ABT-888,13.325,skin
A2058,MITOMYCINE,AZD1775,13.2225,skin
A2058,MITOMYCINE,BEZ-235,4.076666666666667,skin
A2058,MITOMYCINE,BORTEZOMIB,7.7775,skin
A2058,MITOMYCINE,DASATINIB,10.8475,skin
A2058,MITOMYCINE,DINACICLIB,6.115,skin
A2058,MITOMYCINE,ERLOTINIB,-14.405,skin
A2058,MITOMYCINE,GELDANAMYCIN,9.2225,skin
A2058,MITOMYCINE,L778123,-3.11,skin
A2058,MITOMYCINE,LAPATINIB,15.695,skin
A2058,MITOMYCINE,MK-2206,6.7875000000000005,skin
A2058,MITOMYCINE,MK-5108,4.88,skin
A2058,MITOMYCINE,MK-8669,4.95,skin
A2058,MITOMYCINE,MK-8776,6.5512500000000005,skin
A2058,MITOMYCINE,PD325901,14.197500000000002,skin
A2058,MITOMYCINE,SORAFENIB,-34.255,skin
A2058,MITOMYCINE,SUNITINIB,8.01,skin
A2058,MITOMYCINE,TEMOZOLOMIDE,4.72,skin
A2058,MITOMYCINE,ZOLINZA,16.39,skin
A2058,MK-2206,ABT-888,6.5125,skin
A2058,MK-2206,BEZ-235,9.4525,skin
A2058,MK-2206,BORTEZOMIB,-3.35,skin
A2058,MK-2206,DASATINIB,14.4475,skin
A2058,MK-2206,DINACICLIB,3.82,skin
A2058,MK-2206,ERLOTINIB,4.96,skin
A2058,MK-2206,GELDANAMYCIN,5.6274999999999995,skin
A2058,MK-2206,MK-8669,10.86125,skin
A2058,MK-2206,OXALIPLATIN,0.09499999999999975,skin
A2058,MK-2206,PD325901,12.182500000000001,skin
A2058,MK-2206,SN-38,6.23,skin
A2058,MK-2206,SORAFENIB,14.805,skin
A2058,MK-2206,TOPOTECAN,5.84,skin
A2058,MK-4541,5-FU,3.14,skin
A2058,MK-4541,ABT-888,8.785,skin
A2058,MK-4541,AZD1775,3.5,skin
A2058,MK-4541,BORTEZOMIB,3.59,skin
A2058,MK-4541,CARBOPLATIN,-3.57,skin
A2058,MK-4541,CYCLOPHOSPHAMIDE,5.5649999999999995,skin
A2058,MK-4541,DASATINIB,-5.06,skin
A2058,MK-4541,DEXAMETHASONE,-2.1499999999999995,skin
A2058,MK-4541,DINACICLIB,6.17,skin
A2058,MK-4541,ERLOTINIB,-1.8650000000000002,skin
A2058,MK-4541,ETOPOSIDE,6.39,skin
A2058,MK-4541,GELDANAMYCIN,5.58,skin
A2058,MK-4541,GEMCITABINE,3.94,skin
A2058,MK-4541,L778123,6.345,skin
A2058,MK-4541,LAPATINIB,-4.86,skin
A2058,MK-4541,METFORMIN,11.98,skin
A2058,MK-4541,METHOTREXATE,-7.84,skin
A2058,MK-4541,MITOMYCINE,12.07,skin
A2058,MK-4541,MK-2206,-4.3100000000000005,skin
A2058,MK-4541,MK-4827,-3.99,skin
A2058,MK-4541,MK-5108,-5.115,skin
A2058,MK-4541,MK-8669,-4.45,skin
A2058,MK-4541,MK-8776,-5.916666666666667,skin
A2058,MK-4541,MRK-003,-4.705,skin
A2058,MK-4541,OXALIPLATIN,-5.213333333333334,skin
A2058,MK-4541,PACLITAXEL,-5.2775,skin
A2058,MK-4541,PD325901,9.35,skin
A2058,MK-4541,SN-38,5.98,skin
A2058,MK-4541,SORAFENIB,8.736666666666666,skin
A2058,MK-4541,SUNITINIB,7.2250000000000005,skin
A2058,MK-4541,TEMOZOLOMIDE,-3.05,skin
A2058,MK-4541,TOPOTECAN,4.36,skin
A2058,MK-4541,VINBLASTINE,-8.96,skin
A2058,MK-4541,VINORELBINE,-7.065,skin
A2058,MK-4541,ZOLINZA,3.31,skin
A2058,MK-4827,ABT-888,-7.6850000000000005,skin
A2058,MK-4827,BEZ-235,-5.583333333333333,skin
A2058,MK-4827,BORTEZOMIB,3.45,skin
A2058,MK-4827,DASATINIB,-4.5,skin
A2058,MK-4827,DINACICLIB,3.49,skin
A2058,MK-4827,GELDANAMYCIN,7.1,skin
A2058,MK-4827,MK-2206,11.185,skin
A2058,MK-4827,MK-8669,1.7100000000000004,skin
A2058,MK-4827,MK-8776,9.184999999999999,skin
A2058,MK-4827,OXALIPLATIN,5.683333333333334,skin
A2058,MK-4827,PD325901,-4.216666666666667,skin
A2058,MK-4827,SN-38,4.814285714285715,skin
A2058,MK-4827,SORAFENIB,-5.81,skin
A2058,MK-4827,TOPOTECAN,-3.79,skin
A2058,MK-5108,ABT-888,5.7675,skin
A2058,MK-5108,BEZ-235,3.51,skin
A2058,MK-5108,DASATINIB,5.79,skin
A2058,MK-5108,ERLOTINIB,5.905,skin
A2058,MK-5108,MK-2206,4.14,skin
A2058,MK-5108,MK-4827,11.9125,skin
A2058,MK-5108,MK-8669,5.163333333333333,skin
A2058,MK-5108,MK-8776,-5.6775,skin
A2058,MK-5108,OXALIPLATIN,-4.52,skin
A2058,MK-5108,SN-38,5.4,skin
A2058,MK-5108,SORAFENIB,6.675000000000001,skin
A2058,MK-5108,TOPOTECAN,7.2775,skin
A2058,MK-8669,BEZ-235,18.0075,skin
A2058,MK-8669,DINACICLIB,9.39,skin
A2058,MK-8669,GELDANAMYCIN,6.8675,skin
A2058,MK-8669,MK-8776,7.705,skin
A2058,MK-8669,OXALIPLATIN,8.43,skin
A2058,MK-8669,SN-38,4.28,skin
A2058,MK-8669,SORAFENIB,11.96,skin
A2058,MRK-003,5-FU,16.585,skin
A2058,MRK-003,ABT-888,10.0075,skin
A2058,MRK-003,AZD1775,9.950000000000001,skin
A2058,MRK-003,BEZ-235,8.425,skin
A2058,MRK-003,BORTEZOMIB,7.153333333333333,skin
A2058,MRK-003,CARBOPLATIN,10.896666666666667,skin
A2058,MRK-003,CYCLOPHOSPHAMIDE,8.57,skin
A2058,MRK-003,DASATINIB,11.254999999999999,skin
A2058,MRK-003,DEXAMETHASONE,10.0725,skin
A2058,MRK-003,DINACICLIB,6.32,skin
A2058,MRK-003,ERLOTINIB,6.123333333333334,skin
A2058,MRK-003,ETOPOSIDE,3.9425,skin
A2058,MRK-003,GELDANAMYCIN,6.0375,skin
A2058,MRK-003,GEMCITABINE,8.815,skin
A2058,MRK-003,L778123,10.305,skin
A2058,MRK-003,LAPATINIB,16.746666666666666,skin
A2058,MRK-003,METFORMIN,14.795,skin
A2058,MRK-003,METHOTREXATE,-5.35,skin
A2058,MRK-003,MITOMYCINE,8.36,skin
A2058,MRK-003,MK-2206,11.555,skin
A2058,MRK-003,MK-4827,13.95,skin
A2058,MRK-003,MK-5108,-0.14500000000000002,skin
A2058,MRK-003,MK-8669,11.375,skin
A2058,MRK-003,MK-8776,5.81,skin
A2058,MRK-003,OXALIPLATIN,19.025,skin
A2058,MRK-003,PACLITAXEL,4.035,skin
A2058,MRK-003,PD325901,11.7725,skin
A2058,MRK-003,SN-38,8.755,skin
A2058,MRK-003,SORAFENIB,18.915,skin
A2058,MRK-003,SUNITINIB,11.727142857142857,skin
A2058,MRK-003,TEMOZOLOMIDE,6.890000000000001,skin
A2058,MRK-003,TOPOTECAN,13.4575,skin
A2058,MRK-003,VINBLASTINE,10.491249999999999,skin
A2058,MRK-003,VINORELBINE,6.263333333333333,skin
A2058,MRK-003,ZOLINZA,10.206666666666667,skin
A2058,OXALIPLATIN,DINACICLIB,4.9,skin
A2058,OXALIPLATIN,MK-8776,11.535,skin
A2058,OXALIPLATIN,SORAFENIB,8.096666666666666,skin
A2058,PACLITAXEL,ABT-888,4.675000000000001,skin
A2058,PACLITAXEL,BEZ-235,1.0100000000000002,skin
A2058,PACLITAXEL,BORTEZOMIB,3.3150000000000004,skin
A2058,PACLITAXEL,DASATINIB,3.25,skin
A2058,PACLITAXEL,ERLOTINIB,-6.1,skin
A2058,PACLITAXEL,GELDANAMYCIN,0.43500000000000005,skin
A2058,PACLITAXEL,L778123,8.3375,skin
A2058,PACLITAXEL,LAPATINIB,3.37,skin
A2058,PACLITAXEL,MK-4827,-4.416666666666667,skin
A2058,PACLITAXEL,MK-5108,8.8225,skin
A2058,PACLITAXEL,MK-8776,-4.015000000000001,skin
A2058,PACLITAXEL,PD325901,12.65,skin
A2058,PACLITAXEL,SORAFENIB,3.61,skin
A2058,PACLITAXEL,SUNITINIB,4.97,skin
A2058,PACLITAXEL,TEMOZOLOMIDE,-3.526666666666667,skin
A2058,PD325901,ABT-888,8.166666666666666,skin
A2058,PD325901,BEZ-235,11.3225,skin
A2058,PD325901,BORTEZOMIB,4.0975,skin
A2058,PD325901,DASATINIB,3.26,skin
A2058,PD325901,DINACICLIB,7.945,skin
A2058,PD325901,MK-8669,11.6775,skin
A2058,PD325901,MK-8776,0.345,skin
A2058,PD325901,OXALIPLATIN,7.09,skin
A2058,PD325901,SN-38,3.77,skin
A2058,PD325901,SORAFENIB,27.225,skin
A2058,PD325901,TOPOTECAN,4.3,skin
A2058,SN-38,DINACICLIB,4.8,skin
A2058,SN-38,MK-8776,5.1450000000000005,skin
A2058,SN-38,SORAFENIB,10.907499999999999,skin
A2058,SORAFENIB,DINACICLIB,10.76,skin
A2058,SORAFENIB,MK-8776,7.72,skin
A2058,SUNITINIB,ABT-888,15.4525,skin
A2058,SUNITINIB,AZD1775,10.1675,skin
A2058,SUNITINIB,BEZ-235,14.0225,skin
A2058,SUNITINIB,BORTEZOMIB,7.616666666666667,skin
A2058,SUNITINIB,DASATINIB,17.6575,skin
A2058,SUNITINIB,DINACICLIB,12.045000000000002,skin
A2058,SUNITINIB,ERLOTINIB,14.34,skin
A2058,SUNITINIB,GELDANAMYCIN,9.5975,skin
A2058,SUNITINIB,LAPATINIB,25.685000000000002,skin
A2058,SUNITINIB,MK-2206,16.8275,skin
A2058,SUNITINIB,MK-4827,5.71,skin
A2058,SUNITINIB,MK-5108,3.1199999999999997,skin
A2058,SUNITINIB,MK-8669,23.1325,skin
A2058,SUNITINIB,MK-8776,15.5,skin
A2058,SUNITINIB,OXALIPLATIN,9.25,skin
A2058,SUNITINIB,PD325901,12.0275,skin
A2058,SUNITINIB,SN-38,8.057500000000001,skin
A2058,SUNITINIB,SORAFENIB,13.875,skin
A2058,SUNITINIB,TEMOZOLOMIDE,5.15,skin
A2058,SUNITINIB,TOPOTECAN,4.92,skin
A2058,TEMOZOLOMIDE,ABT-888,16.4925,skin
A2058,TEMOZOLOMIDE,AZD1775,13.8225,skin
A2058,TEMOZOLOMIDE,BORTEZOMIB,5.0525,skin
A2058,TEMOZOLOMIDE,DASATINIB,3.35,skin
A2058,TEMOZOLOMIDE,DINACICLIB,5.59,skin
A2058,TEMOZOLOMIDE,ERLOTINIB,4.89,skin
A2058,TEMOZOLOMIDE,GELDANAMYCIN,9.485,skin
A2058,TEMOZOLOMIDE,LAPATINIB,5.4325,skin
A2058,TEMOZOLOMIDE,MK-2206,7.4,skin
A2058,TEMOZOLOMIDE,MK-4827,-0.8066666666666672,skin
A2058,TEMOZOLOMIDE,MK-5108,-3.6566666666666663,skin
A2058,TEMOZOLOMIDE,MK-8669,3.3,skin
A2058,TEMOZOLOMIDE,MK-8776,20.305,skin
A2058,TEMOZOLOMIDE,OXALIPLATIN,5.13,skin
A2058,TEMOZOLOMIDE,PD325901,6.967499999999999,skin
A2058,TEMOZOLOMIDE,SN-38,3.47,skin
A2058,TEMOZOLOMIDE,SORAFENIB,5.523333333333333,skin
A2058,TOPOTECAN,DINACICLIB,4.52,skin
A2058,TOPOTECAN,MK-8776,9.8875,skin
A2058,TOPOTECAN,SORAFENIB,8.06,skin
A2058,VINBLASTINE,ABT-888,-10.415,skin
A2058,VINBLASTINE,AZD1775,3.8000000000000003,skin
A2058,VINBLASTINE,BEZ-235,2.5975,skin
A2058,VINBLASTINE,BORTEZOMIB,5.695,skin
A2058,VINBLASTINE,DASATINIB,-5.425,skin
A2058,VINBLASTINE,DINACICLIB,-9.35,skin
A2058,VINBLASTINE,ERLOTINIB,8.372499999999999,skin
A2058,VINBLASTINE,L778123,18.795,skin
A2058,VINBLASTINE,LAPATINIB,3.563333333333334,skin
A2058,VINBLASTINE,MK-2206,-7.6075,skin
